product,issue,table,category,code,desc_c,desc_e
HKMDS,202004,,product,HKMDS,香港統計月刊,Hong Kong Monthly Digest of Statistics
HKMDS,202004,,issue,202004,期號：2020年4月,Issue : April 2020
HKMDS,202004,T0401,table,T0401,表4.1 : 按開支組成部分劃分的本地生產總值 ── 以當時市價計算,Table 4.1 : Gross Domestic Product (GDP) by expenditure component ─ at current market prices
HKMDS,202004,T0401,stat,M040101,本地生產總值(以當時市價計算)的組成部分 [百萬元],Gross Domestic Product (GDP) at current market prices components [$ million]
HKMDS,202004,T0401,stat,M040102,本地生產總值(以當時市價計算) [百萬元],GDP at current market prices [$ million]
HKMDS,202004,T0401,stat,M040103,按人口平均計算的本地生產總值(以當時市價計算) [元],Per capita GDP at current market prices [$]
HKMDS,202004,T0401,class1,gdpcomp,本地生產總值的組成部分,GDP components
HKMDS,202004,T0401,class1_code,gdpcomp_01,私人消費開支,Private consumption expenditure
HKMDS,202004,T0401,class1_code,gdpcomp_02,政府消費開支,Government consumption expenditure
HKMDS,202004,T0401,class1_code,gdpcomp_03,本地固定資本形成總額,Gross domestic fixed capital formation
HKMDS,202004,T0401,class1_code,gdpcomp_04,存貨增減,Changes in inventories
HKMDS,202004,T0401,class1_code,gdpcomp_05,貨品出口 (離岸價),Exports of goods (free-on-board)
HKMDS,202004,T0401,class1_code,gdpcomp_06,服務輸出,Exports of services
HKMDS,202004,T0401,class1_code,gdpcomp_07,貨品進口 (離岸價),Imports of goods (free-on-board)
HKMDS,202004,T0401,class1_code,gdpcomp_08,服務輸入,Imports of services
HKMDS,202004,T0401,other_info,note_G1,貨品出口及進口與服務輸出及輸入數字，是根據《2008年國民經濟核算體系》的標準，採用所有權轉移原則記錄外地加工貨品及轉手商貿活動編製而成的。用戶必須注意本統計表的貨品出口及進口數字與對外商品貿易統計數字有所不同，因後者並不是採用所有權轉移原則編製。,Figures on exports and imports of goods and services are compiled based on the change of ownership principle in recording goods sent abroad for processing and merchanting under the standards stipulated in the System of National Accounts 2008.  Users should note that the figures of exports and imports of goods in this table are different from those published in external merchandise trade statistics which are not compiled based on the change of ownership principle.
HKMDS,202004,T0401,note_figure,(@),數字將於日後修訂,Figures are subject to revision later on
HKMDS,202004,T0401,other_info,source,政府統計處國民收入統計科﹙一﹚,"National Income Branch (1), Census and Statistics Department"
HKMDS,202004,T0402,table,T0402,表4.2 : 按開支組成部分劃分的本地生產總值 ── 以2017年環比物量計算,Table 4.2 : Gross Domestic Product (GDP) by expenditure component ─ in chained (2017) dollars
HKMDS,202004,T0402,stat,M040201,本地生產總值(以2017年環比物量計算)的組成部分 [百萬元],Gross Domestic Product (GDP) in chained (2017) dollars components [$ million]
HKMDS,202004,T0402,stat,M040202,本地生產總值(以2017年環比物量計算) [百萬元],GDP in chained (2017) dollars [$ million]
HKMDS,202004,T0402,stat,M040203,按人口平均計算的本地生產總值 (以2017年環比物量計算) [元],Per capita GDP in chained (2017) dollars [$]
HKMDS,202004,T0402,stat,M040204,本地生產總值內含平減物價指數 (2017年=100),Implicit price deflator of GDP (Year 2017=100)
HKMDS,202004,T0402,class1,gdpcomp,本地生產總值的組成部分,GDP components
HKMDS,202004,T0402,class1_code,gdpcomp_01,私人消費開支,Private consumption expenditure
HKMDS,202004,T0402,class1_code,gdpcomp_02,政府消費開支,Government consumption expenditure
HKMDS,202004,T0402,class1_code,gdpcomp_03,本地固定資本形成總額,Gross domestic fixed capital formation
HKMDS,202004,T0402,class1_code,gdpcomp_04,存貨增減,Changes in inventories
HKMDS,202004,T0402,class1_code,gdpcomp_05,貨品出口 (離岸價),Exports of goods (free-on-board)
HKMDS,202004,T0402,class1_code,gdpcomp_06,服務輸出,Exports of services
HKMDS,202004,T0402,class1_code,gdpcomp_07,貨品進口 (離岸價),Imports of goods (free-on-board)
HKMDS,202004,T0402,class1_code,gdpcomp_08,服務輸入,Imports of services
HKMDS,202004,T0402,other_info,note_G1,以2017年環比物量計算的價值是應用環比物量指數作為外推指標，以外推法把參照年2017年的以當時價格計算的數值向前及向後推算。由於在編製以環比物量計算的數列時，本地生產總值及其組成部分的外推過程是獨立地進行，所以以環比物量計算的本地生產總值與其以環比物量計算的組成部分的總和可能出現差額。,"The chained (2017) dollar series is derived by extrapolation of the current price value for the reference year (2017) backward and forward using the chain volume index as the extrapolator.  As the extrapolation process is carried out for GDP and its components independently in calculating the chained dollar series, discrepancies may exist between the chain volume measure of GDP and the sum of the chain volume measures of its components."
HKMDS,202004,T0402,other_info,note_G2,貨品出口及進口與服務輸出及輸入數字，是根據《2008 年國民經濟核算體系》的標準，採用所有權轉移原則記錄外地加工貨品及轉手商貿活動編製而成的。用戶必須注意本統計表的貨品出口及進口數字與對外商品貿易統計數字有所不同，因後者並不是採用所有權轉移原則編製。,Figures on exports and imports of goods and services are compiled based on the change of ownership principle in recording goods sent abroad for processing and merchanting under the standards stipulated in the System of National Accounts 2008.  Users should note that the figures of exports and imports of goods in this table are different from those published in external merchandise trade statistics which are not compiled based on the change of ownership principle.
HKMDS,202004,T0402,note_figure,(@),數字將於日後修訂,Figures are subject to revision later on
HKMDS,202004,T0402,other_info,source,政府統計處國民收入統計科﹙一﹚,"National Income Branch (1), Census and Statistics Department"
HKMDS,202004,T0403,table,T0403,表4.3 : 按季本地生產總值及選定開支組成部分的實質變動百分率,Table 4.3 : Percentage change in real terms of quarterly Gross Domestic Product and selected expenditure components
