product,issue,table,category,code,desc_c,desc_e
HKMDS,202005,,product,HKMDS,香港統計月刊,Hong Kong Monthly Digest of Statistics
HKMDS,202005,,issue,202005,期號：2020年5月,Issue : May 2020
HKMDS,202005,T0601,table,T0601,表6.1：工業生產指數,Table 6.1 : Index of industrial production
HKMDS,202005,T0601,stat,M060101,工業生產指數 (2015年=100),Index of industrial production (Year 2015=100)
HKMDS,202005,T0601,stat,M060102,污水處理、廢棄物管理及污染防治活動工業生產指數,"Index of sewerage, waste management and remediation activities"
HKMDS,202005,T0601,class1,ipind,行業,Industries
HKMDS,202005,T0601,class1_code,ipind_0101,製造 - 食品、飲品及煙草製品,"Manufacturing - Food, beverages and tobacco"
HKMDS,202005,T0601,class1_code,ipind_0102,製造 - 紡織製品及成衣,Manufacturing - Textiles and wearing apparel
HKMDS,202005,T0601,class1_code,ipind_0103,製造 - 紙製品、印刷及已儲錄資料媒體的複製,"Manufacturing - Paper products, printing and reproduction of recorded media"
HKMDS,202005,T0601,class1_code,ipind_0104,製造 - 金屬、電腦、電子及光學產品、機械及設備,"Manufacturing - Metal, computer, electronic and optical products, machinery and equipment"
HKMDS,202005,T0601,class1_code,ipind_0105,製造 - 其他製造行業,Manufacturing - Miscellaneous manufacturing industries
HKMDS,202005,T0601,class1_code,ipind_01tt,製造 - 所有製造行業,Manufacturing - All manufacturing industries
HKMDS,202005,T0601,class1_code,ipind_02,污水處理、廢棄物管理及污染防治活動,"Sewerage, waste management and remediation activities"
HKMDS,202005,T0601,other_info,note_G1,工業生產指數以環比連接法編製。由2019年第2季度開始，按選定行業組別劃分的工業生產指數已重訂參照年，以2015年作為新的參照年，取代過去2008年的參照年。重訂參照年不會影響統計表內的按年變動率。,"The indices of industrial production are compiled based on the chain-linking approach.  Starting from Q2 2019, indices of industrial production by selected industry grouping have been re-referenced, taking year 2015 as the new reference period in place of the previous reference year of 2008.  The re-referencing does not affect their year-on-year rates of change contained in this statistical table."
HKMDS,202005,T0601,other_info,source,政府統計處工業生產統計組,"Industrial Production Statistics Section, Census and Statistics Department"
HKMDS,202005,T0602,table,T0602,表6.2：經季節性調整的製造業工業生產指數的變動百分率,Table 6.2 : Rate of change in the seasonally adjusted index of industrial production for manufacturing industries
HKMDS,202005,T0602,stat,M060201,經季節性調整的指數與上季比較的變動率 [%],Rate of change in the seasonally adjusted index over the preceding quarter [%]
HKMDS,202005,T0602,other_info,note_G1,經季節性調整數列是由「X-12 自迴歸 ─ 求和 ─ 移動平均」(X-12 ARIMA) 方法編製，該方法是用作編製經季節性調整的統計數列的標準方法。,"The seasonally adjusted series is compiled using the ""X-12 ARIMA"" method, which is a standard method applied in compiling seasonally adjusted statistical data series."
HKMDS,202005,T0603,figure,§,變動在±0.05%之內。,Change within ±0.05%.
HKMDS,202005,T0602,other_info,source,政府統計處工業生產統計組,"Industrial Production Statistics Section, Census and Statistics Department"
HKMDS,202005,T0603,table,T0603,表6.3：石礦生產,Table 6.3 : Quarry production
HKMDS,202005,T0603,stat,M060301,石礦產量 [公噸],Quarry production [Tonnes]
HKMDS,202005,T0603,other_info,source,土木工程拓展署,Civil Engineering and Development Department
HKMDS,202005,T0604,table,T0604,表6.4：屋宇建造及土木工程機構單位所完成工程名義總值,"Table 6.4 : Gross value of construction works, in nominal terms, performed by building and civil engineering establishments"
HKMDS,202005,T0604,stat,M060401,主要承建商所完成工程名義總值 [百萬元],"Gross value of construction works, in nominal terms, performed by main contractors [$ million]"
HKMDS,202005,T0604,stat,M060402,主要承建商所完成工程名義總值 - 經季節性調整的總計 (註釋 1) [百萬元],"Gross value of construction works, in nominal terms, performed by main contractors - Seasonally adjusted overall total (note 1) [$ million]"
HKMDS,202005,T0604,class1,cwloc,是否於建築地盤,At construction sites or not
